Posición	País	IDG	MortalidadMaterna	FecundidadAdos	EnParlamento
2	Suecia Suecia	0.052	4	6.5	44.7
3	Suiza Suiza	0.057	8	3.9	26.8
3	Dinamarca Dinamarca	0.057	12	5.1	39.1
5	Noruega Noruega	0.065	7	7.4	39.6
6	Alemania Alemania	0.075	7	6.8	32.4
7	Finlandia Finlandia	0.075	5	9.3	42.5
8	Eslovenia Eslovenia	0.08	12	4.5	23.1
10	Islandia Islandia	0.089	5	11.6	39.7
11	Italia Italia	0.094	4	4	20.7
12	Bélgica Bélgica	0.098	8	11.2	38.9
13	Singapur Singapur	0.101	3	6.7	23.5
14	Austria Austria	0.102	4	9.7	28.7
15	España España	0.103	6	10.7	34.9
16	Portugal Portugal	0.114	8	12.5	28.7
17	Australia Australia	0.115	7	12.5	29.2
18	Canadá Canadá	0.119	12	11.3	28
19	Irlanda Irlanda	0.121	6	8.8	19
20	República Checa República Checa	0.122	5	9.2	21
21	Japón Japón	0.131	5	6	13.4
22	Chipre Chipre	0.134	10	5.5	10.7
23	Grecia Grecia	0.136	3	9.6	21
24	Polonia Polonia	0.14	5	12.2	21.8
25	Israel Israel	0.144	7	14	20
26	Luxemburgo Luxemburgo	0.149	20	8.4	20
27	Argentina Argentina	0.153	16	5.8	15.7
27	Corea del Sur Corea del Sur	0.153	16	5.8	15.7
28	Lituania Lituania	0.157	8	16.1	19.1
29	Estonia Estonia	0.158	2	17.2	19.8
30	Macedonia del Norte Macedonia del Norte	0.162	10	17.8	30.9
31	Nueva Zelanda Nueva Zelanda	0.164	15	18.6	32.2
32	Eslovaquia Eslovaquia	0.171	6	16.7	17.3
33	Croacia Croacia	0.174	17	12.8	23.8
34	Reino Unido Reino Unido	0.205	12	29.7	22.1
35	la República Popular China China	0.213	37	9.1	21.3
36	Letonia Letonia	0.216	34	12.8	23
37	Libia Libia	0.216	58	2.6	16.5
38	Bulgaria Bulgaria	0.219	11	36.2	20.8
39	Malta Malta	0.236	8	11.8	8.7
40	Emiratos Árabes Unidos Emiratos Árabes Unidos	0.241	12	23.4	17.5
41	Albania Albania	0.251	27	14.9	15.7
42	Malasia Malasia	0.256	29	9.8	13.2
43	Estados Unidos Estados Unidos	0.256	21	27.4	17
44	Hungría Hungría	0.256	21	13.6	8.8
45	Baréin Baréin	0.258	20	14.8	18.8
