Posición,País,IDG,MortalidadMaterna,FecundidadAdos,EnParlamento
2,Suecia,0.052000000000000005,4,6.5,44.7
3,Suiza,0.057,8,3.9,26.8
3,Dinamarca,0.057,12,5.1,39.1
5,Noruega,0.065,7,7.4,39.6
6,Alemania,0.075,7,6.8,32.4
7,Finlandia,0.075,5,9.3,42.5
8,Eslovenia,0.08,12,4.5,23.1
10,Islandia,0.08900000000000001,5,11.6,39.7
11,Italia,0.094,4,4.0,20.7
12,Bélgica,0.098,8,11.2,38.9
13,Singapur,0.10099999999999999,3,6.7,23.5
14,Austria,0.102,4,9.7,28.7
15,España,0.10300000000000001,6,10.7,34.9
16,Portugal,0.114,8,12.5,28.7
17,Australia,0.115,7,12.5,29.2
18,Canadá,0.11900000000000001,12,11.3,28.0
19,Irlanda,0.121,6,8.8,19.0
20,República Checa,0.122,5,9.2,21.0
21,Japón,0.131,5,6.0,13.4
22,Chipre,0.134,10,5.5,10.7
23,Grecia,0.136,3,9.6,21.0
24,Polonia,0.14,5,12.2,21.8
25,Israel,0.14400000000000002,7,14.0,20.0
26,Luxemburgo,0.149,20,8.4,20.0
27,Argentina,0.153,16,5.8,15.7
27,Corea del Sur,0.153,16,5.8,15.7
28,Lituania,0.157,8,16.1,19.1
29,Estonia,0.158,2,17.2,19.8
30,Macedonia del Norte,0.162,10,17.8,30.9
31,Nueva Zelanda,0.16399999999999998,15,18.6,32.2
32,Eslovaquia,0.171,6,16.7,17.3
33,Croacia,0.174,17,12.8,23.8
34,Reino Unido,0.205,12,29.7,22.1
35,la República Pop,0.213,37,9.1,21.3
36,Letonia,0.21600000000000003,34,12.8,23.0
37,Libia,0.21600000000000003,58,2.6,16.5
38,Bulgaria,0.21899999999999997,11,36.2,20.8
39,Malta,0.23600000000000002,8,11.8,8.7
40,Emiratos Árabes Unidos,0.24100000000000002,12,23.4,17.5
41,Albania,0.251,27,14.9,15.7
42,Malasia,0.256,29,9.8,13.2
43,Estados Unidos,0.256,21,27.4,17.0
44,Hungría,0.256,21,13.6,8.8
45,Baréin,0.258,20,14.8,18.8
46,Túnez,0.261,56,4.4,26.7
47,Flag of Kuwa,0.27399999999999997,14,14.4,6.3
48,Vietnam,0.299,59,22.7,24.4
49,Moldavia,0.303,41,29.1,19.8
50,Trinidad y Tobago,0.311,46,31.6,27.4
51,Rusia,0.312,34,23.2,11.1
51,Kazajistán,0.312,51,25.5,18.2
53,Bahamas,0.316,47,28.3,16.7
54,Azerbaiyán,0.32299999999999995,43,31.4,16.0
55,Rumania,0.327,27,28.8,9.7
